Menu Item,Energy (kcal),Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fibre (g),Protein (g),Salt (g)
Dave's Single,524,29.0,10.0,37.0,8.2,1.7,28.0,2.2
Dave's Double,879,56.0,22.0,39.0,9.7,1.7,54.0,4.4
Dave's Triple,1195,80.0,33.0,41.0,10.0,1.7,77.0,6.1
Baconator,1001,66.0,26.0,38.0,8.5,1.7,63.0,5.8
Curry Bean Burger,535,25.0,7.0,57.0,9.0,7.0,17.0,2.8
Spicy Chicken,400,15.0,2.4,45.0,6.3,2.4,20.0,2.2
Classic Chicken,404,15.0,2.5,46.0,6.4,2.5,20.0,2.5
Grilled Chicken,337,10.0,1.2,35.0,6.4,1.7,26.0,1.6
Avocado Chicken Club,583,30.0,8.7,47.0,6.5,2.4,30.0,3.4
4 Pc Chicken Nuggets,114,5.6,1.4,4.9,0.0,0.0,11.0,0.93
6 Pc Chicken Nuggets,173,8.4,2.1,7.4,0.0,0.0,17.0,1.4
10 Pc Chicken Nuggets,286,14.0,3.4,12.0,0.0,0.0,28.0,2.3
20 Pc Chicken Nuggets,572,28.0,6.9,25.0,0.0,0.0,55.0,4.6
Value Fries,142,6.7,0.5,18.0,3.5,1.5,1.6,2.1
Medium Fries,176,8.5,0.6,22.0,3.7,1.9,2.0,2.1
Large Fries,239,11.0,0.8,31.0,6.8,2.6,2.7,2.4
Can Coke,140,0.0,0.0,35.0,35.0,0.0,0.0,0.0
Can Diet Coke,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Can Sprite,44,0.0,0.0,11.0,11.0,0.0,0.0,0.03
