Section,Menu Item,Energy (kcal),Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fibre (g),Protein (g),Salt (g)
Hamburgers & Chicken,Dave's Single,524,29.0,10.0,37.0,8.2,1.7,28.0,2.2
Hamburgers & Chicken,Dave's Double,879,56.0,22.0,39.0,9.7,1.7,54.0,4.4
Hamburgers & Chicken,Dave's Triple,1195,80.0,33.0,41.0,10.0,1.7,77.0,6.1
Hamburgers & Chicken,Baconator,1001,66.0,26.0,38.0,8.5,1.7,63.0,5.8
Hamburgers & Chicken,Curry Bean Burger,535,25.0,7.0,57.0,9.0,7.0,17.0,2.8
Hamburgers & Chicken,Spicy Chicken,400,15.0,2.4,45.0,6.3,2.4,20.0,2.2
Hamburgers & Chicken,Classic Chicken,404,15.0,2.5,46.0,6.4,2.5,20.0,2.5
Hamburgers & Chicken,Grilled Chicken,337,10.0,1.2,35.0,6.4,1.7,26.0,1.6
Hamburgers & Chicken,Avocado Chicken Club,583,30.0,8.7,47.0,6.5,2.4,30.0,3.4
Hamburgers & Chicken,4 Pc Chicken Nuggets,114,5.6,1.4,4.9,0.0,0.0,11.0,0.93
Hamburgers & Chicken,6 Pc Chicken Nuggets,173,8.4,2.1,7.4,0.0,0.0,17.0,1.4
Hamburgers & Chicken,10 Pc Chicken Nuggets,286,14.0,3.4,12.0,0.0,0.0,28.0,2.3
Hamburgers & Chicken,20 Pc Chicken Nuggets,572,28.0,6.9,25.0,0.0,0.0,55.0,4.6
Hamburgers & Chicken,4 Pc Spicy Chicken Nuggets,99,2.8,0.5,6.5,0.0,0.0,12.0,0.37
Hamburgers & Chicken,6 Pc Spicy Chicken Nuggets,152,4.1,0.8,9.8,0.0,0.0,19.0,0.55
Hamburgers & Chicken,10 Pc Spicy Chicken Nuggets,250,6.8,1.3,16.0,0.0,0.6,31.0,0.92
Hamburgers & Chicken,20 Pc Spicy Chicken Nuggets,499,13.0,2.6,33.0,0.0,1.2,62.0,1.8
Hamburgers & Chicken,Spicy Chicken Mayo Wrap,341,20.0,4.9,27.0,1.5,2.3,12.0,1.3
Hamburgers & Chicken,Spicy Chicken Avocado Wrap,252,11.0,2.9,27.0,2.1,2.3,10.0,1.1
Hamburgers & Chicken,Crispy Chicken Curry Mayo Wrap,301,16.0,3.1,28.0,2.6,2.5,10.0,1.2
Hamburgers & Chicken,Spicy Chicken BBQ Wrap,268,9.7,4.1,32.0,5.8,2.3,12.0,1.4
Hamburgers & Chicken,Cheeseburger Deluxe,366,19.0,6.3,31.0,7.3,1.4,17.0,1.9
Hamburgers & Chicken,Bacon Cheeseburger,410,23.0,7.4,30.0,5.9,1.4,20.0,2.3
Salads,Caesar Chicken Salad,411,31.0,6.6,4.2,3.7,1.4,28.0,2.1
Salads,Avocado Chicken Salad,485,36.0,9.5,7.5,5.2,1.4,32.0,2.2
Sides,Value Fries,142,6.7,0.5,18.0,3.5,1.5,1.6,2.1
Sides,Medium Fries,176,8.5,0.6,22.0,3.7,1.9,2.0,2.1
Sides,Large Fries,239,11.0,0.8,31.0,6.8,2.6,2.7,2.4
Sides,Baconator Fries,459,34.0,9.3,25.0,2.6,2.3,12.0,1.7
Sides,Cheesy Topped Fries,351,24.0,7.1,25.0,2.5,2.3,7.5,2.6
Sides,Plain Potato,232,5.4,3.4,39.0,2.4,4.7,4.4,1.9
Sides,Bacon & Cheese Potato,405,20.0,8.4,40.0,3.8,4.3,14.0,1.6
Sides,Sour Cream and Chives Potato,233,5.4,3.3,39.0,3.4,4.4,4.9,0.04
Sides,Chili,253,13.0,5.5,14.0,3.5,1.9,19.0,1.5
Sides,Chili Cheese Fries,481,31.0,9.8,32.0,4.2,3.2,17.0,1.7
Sides,Chili Cheese Baked Potato,428,17.0,9.0,47.0,5.5,5.3,19.0,1.6
Kids' Meal,Kid's Cheeseburger,317,14.0,5.8,30.0,6.3,1.4,17.0,1.8
Kids' Meal,Kid's Hamburger,278,11.0,4.3,29.0,5.5,1.4,15.0,1.3
Kids' Meal,4 Pc Chicken Nuggets,114,5.6,1.4,4.9,0.0,0.0,11.0,0.93
Kids' Meal,Espresso,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kids' Meal,Americano,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Kids' Meal,Flat White,153,5.0,3.1,16.0,16.0,0.0,11.0,0.47
Kids' Meal,Cappuccino,95,3.2,2.0,9.9,9.9,0.0,6.7,0.3
Kids' Meal,Latte,153,5.0,3.1,16.0,16.0,0.0,11.0,0.47
Kids' Meal,Mocha,190,3.5,2.2,31.0,30.0,2.4,7.3,0.41
Kids' Meal,Tea,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kids' Meal,Hot Chocolate,245,4.3,2.7,41.0,39.0,3.2,8.9,0.51
Frosty,Jr. Vanilla Frosty,179,6.3,5.5,27.0,19.0,0.0,3.5,0.34
Frosty,Regular Vanilla Frosty,311,11.0,9.6,47.0,34.0,0.0,6.1,0.6
Frosty,Large Vanilla Frosty,424,15.0,13.0,64.0,45.0,0.0,8.2,0.8
Frosty,Jr. Chocolate Frosty,174,4.6,0.5,28.0,23.0,0.0,5.2,0.2
Frosty,Regular Chocolate Frosty,299,7.9,0.9,48.0,40.0,0.0,8.9,0.35
Frosty,Large Chocolate Frosty,407,11.0,1.2,65.0,55.0,0.0,12.0,0.48
Breakfast,"Sausage, Egg, & Cheese Croissant",492,33.0,13.0,28.0,4.9,1.5,20.0,1.1
Breakfast,"Bacon, Egg, & Cheese Croissant",403,25.0,10.0,27.0,4.3,1.0,17.0,1.4
Breakfast,Breakfast Baconator,704,44.0,15.0,39.0,8.0,2.1,37.0,3.9
Breakfast,Egg & Cheese Muffin,319,16.0,4.5,27.0,2.5,5.5,14.0,1.0
Breakfast,Sausage & Cheese Muffin,477,29.0,9.1,28.0,3.2,6.0,23.0,1.4
Breakfast,Bacon & Cheese Muffin,384,21.0,6.3,27.0,2.6,5.5,19.0,1.7
Breakfast,Small Breakfast Potatoes,132,3.4,0.3,22.0,0.0,2.3,2.3,0.46
Breakfast,Med Breakfast Potatoes,186,4.8,0.5,31.0,0.5,3.2,3.2,0.66
Breakfast,Large Breakfast Potatoes,236,6.1,0.6,39.0,0.7,4.1,4.1,0.83
Breakfast,Pain au Chocolat,206,10.0,6.2,24.0,7.3,1.6,4.1,0.32
Breakfast,Apple Slices,42,0.0,0.0,9.3,9.3,2.2,0.0,0.0
